pm25,pm10,no2,o3,so2,co,temp,rhum,wspd,pres,coco,pm25_AQI,pm10_AQI,no2_AQI,o3_AQI,so2_AQI,overall_AQI
38.59374,111.02126,33.36995,62.31919,11.609488,1004.714,30.3,50.0,5.5,1003.6,1.0,4.0,5.0,1.0,2.0,1.0,5.0
32.49,103.3325,18.0225,34.19,14.009152,1285.0,29.7,53.0,3.7,1003.5,1.0,4.0,5.0,1.0,1.0,1.0,5.0
83.06173,163.96407,36.941723,38.092857,17.713333,1135.0911,27.9,61.0,0.0,1003.5,1.0,6.0,6.0,1.0,1.0,1.0,6.0
122.47894,220.40678,42.24343,33.004646,19.7632,1222.5876,27.4,62.0,0.0,1003.8,1.0,6.0,6.0,2.0,1.0,1.0,6.0
129.79482,224.38022,37.765,28.855742,20.768183,1239.7771,26.9,63.0,1.8,1004.2,1.0,6.0,6.0,1.0,1.0,1.0,6.0
128.6125,236.74333,26.516666,20.24,14.37339,1590.0,25.9,68.0,5.4,1004.8,1.0,6.0,6.0,1.0,1.0,1.0,6.0
166.4431,254.94588,36.1356,49.404,22.14125,1203.6333,27.8,59.0,3.7,1005.1,1.0,6.0,6.0,1.0,1.0,1.0,6.0
147.46019,217.79881,29.578222,41.86894,24.848402,1105.18,29.2,54.0,5.5,1005.6,1.0,6.0,6.0,1.0,1.0,1.0,6.0
131.86281,195.26346,29.414597,50.24302,22.00814,1035.7701,31.1,51.0,7.6,1005.5,1.0,6.0,6.0,1.0,1.0,1.0,6.0
108.10792,162.28818,24.890062,75.23462,31.194761,980.5797,32.9,45.0,9.3,1005.4,1.0,6.0,6.0,1.0,2.0,1.0,6.0
87.74,138.96706,24.576136,63.946667,23.242647,907.6316,34.8,39.0,13.0,1005.4,1.0,6.0,5.0,1.0,2.0,1.0,6.0
89.445404,140.78125,28.900913,41.360146,17.556667,894.85187,37.3,31.0,11.2,1004.8,1.0,6.0,5.0,1.0,1.0,1.0,6.0
84.78754,151.64929,23.563913,56.81618,20.17875,829.48596,37.5,30.0,16.7,1004.4,1.0,6.0,6.0,1.0,2.0,1.0,6.0
80.57157,139.87311,22.346666,71.98194,23.06189,840.1852,38.3,28.0,18.5,1003.6,1.0,6.0,5.0,1.0,2.0,1.0,6.0
63.269287,126.576,22.137333,111.42214,16.21,809.2857,40.7,19.0,14.8,1002.4,1.0,5.0,5.0,1.0,3.0,1.0,5.0
56.142693,123.50696,17.739107,89.4954,14.61,867.7037,40.1,20.0,14.8,1002.0,1.0,5.0,5.0,1.0,2.0,1.0,5.0
42.991367,105.59379,16.069075,91.095,13.483334,892.1528,39.5,21.0,13.0,1001.5,1.0,4.0,5.0,1.0,2.0,1.0,5.0
35.16225,100.84814,15.672879,94.23913,9.663529,691.0,39.5,20.0,16.6,1000.3,1.0,4.0,1.0,1.0,2.0,1.0,4.0
26.93,72.292,16.127333,96.626785,7.043,1246.4286,37.1,27.0,9.3,1001.6,1.0,4.0,4.0,1.0,2.0,1.0,4.0
29.25,89.0,15.266666,64.08,9.2,896.6667,35.4,33.0,3.7,1002.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0
33.897106,87.135445,14.903905,108.14479,8.933518,602.37445,34.1,38.0,3.6,1001.8,1.0,4.0,4.0,1.0,3.0,1.0,4.0
35.780964,93.13396,15.309127,112.48342,8.950937,659.7032,33.0,41.0,1.8,1002.5,1.0,4.0,4.0,1.0,3.0,1.0,4.0
32.99354,94.163445,17.08946,103.00547,8.3551855,685.24445,31.8,45.0,0.0,1002.7,1.0,4.0,4.0,1.0,3.0,1.0,4.0
46.195,118.32,11.06,62.512,7.6,1386.0,29.1,54.0,3.6,1002.8,1.0,4.0,5.0,1.0,2.0,1.0,5.0
37.670666,114.166664,35.451763,59.281784,7.5453124,1011.0,30.1,50.0,0.0,1002.8,1.0,4.0,5.0,1.0,2.0,1.0,5.0
90.14167,181.695,37.764286,41.51,16.425,1364.2858,29.5,53.0,1.8,1002.6,1.0,6.0,6.0,1.0,1.0,1.0,6.0
77.49547,164.62178,39.10103,35.478485,14.586852,1140.7303,27.1,60.0,0.0,1001.5,1.0,6.0,6.0,1.0,1.0,1.0,6.0
95.16475,189.50566,41.960186,34.99267,18.295897,1160.0554,27.4,59.0,1.8,1002.5,1.0,6.0,6.0,2.0,1.0,1.0,6.0
120.29409,226.80684,45.694305,26.420286,23.7008,1102.103,27.0,60.0,1.8,1002.7,1.0,6.0,6.0,2.0,1.0,1.0,6.0
131.19624,228.04762,48.060383,37.092323,26.277826,1113.9584,25.9,63.0,0.0,1002.7,1.0,6.0,6.0,2.0,1.0,1.0,6.0
134.91617,252.00931,44.589027,44.188286,41.098694,1179.0864,28.1,56.0,1.8,1003.4,1.0,6.0,6.0,2.0,1.0,1.0,6.0
150.47531,252.4019,39.141575,50.191483,64.86744,1208.6459,29.7,51.0,3.7,1004.0,1.0,6.0,6.0,1.0,1.0,1.0,6.0
125.88481,205.37709,41.47,34.454823,20.043043,1187.1154,31.1,44.0,5.4,1003.7,2.0,6.0,6.0,2.0,1.0,1.0,6.0
136.52823,215.87315,42.58643,20.36803,23.386667,1131.8389,33.3,39.0,9.3,1004.2,1.0,6.0,6.0,2.0,1.0,1.0,6.0
126.06579,204.66281,40.965237,18.145239,22.739721,1262.619,35.6,32.0,9.3,1004.0,2.0,6.0,6.0,1.0,1.0,1.0,6.0
160.84393,261.6262,42.57431,17.754444,32.064285,1349.3296,39.9,24.0,7.6,1003.2,2.0,6.0,6.0,2.0,1.0,1.0,6.0
186.64423,293.62482,39.217808,44.778385,54.881298,1175.6224,38.7,25.0,13.0,1002.8,2.0,6.0,6.0,1.0,1.0,1.0,6.0
183.8449,288.08356,32.73838,74.453,37.685963,1073.2377,39.5,23.0,13.0,1001.8,2.0,6.0,6.0,1.0,2.0,1.0,6.0
138.38777,216.99438,24.742374,103.69883,26.6182,924.16223,41.7,21.0,13.0,1000.2,2.0,6.0,6.0,1.0,3.0,1.0,6.0
95.93178,169.02965,21.786177,121.2921,23.047693,741.94,41.6,20.0,14.8,1000.1,2.0,6.0,6.0,1.0,3.0,1.0,6.0
60.913334,132.588,15.355714,100.91947,16.93125,659.63336,40.7,22.0,13.0,999.8,2.0,5.0,5.0,1.0,1.0,1.0,5.0
40.9775,122.98333,15.193334,41.626667,17.67001,1570.0,38.9,27.0,9.4,999.1,2.0,4.0,5.0,1.0,1.0,1.0,5.0
42.815456,101.42857,15.990909,75.044,12.606,753.75,37.7,28.0,9.3,1000.1,2.0,4.0,5.0,1.0,2.0,1.0,5.0
34.513077,111.4604,15.4785185,120.96208,14.329545,470.11667,35.7,33.0,5.5,1000.7,2.0,4.0,5.0,1.0,3.0,1.0,5.0
